"iso3","year","lgb_score"
BIH,2017-01-01 00:00:00.000,6.521739130434782
BIH,2018-01-01 00:00:00.000,6.8
BIH,2019-01-01 00:00:00.000,6.8
BIH,2020-01-01 00:00:00.000,5.483870967741935
BIH,2021-01-01 00:00:00.000,5.483870967741936
BLR,2012-01-01 00:00:00.000,4.3478260869565215
BLR,2013-01-01 00:00:00.000,3.913043478260869
BLR,2014-01-01 00:00:00.000,3.913043478260869
BLR,2015-01-01 00:00:00.000,3.913043478260869
BLR,2016-01-01 00:00:00.000,3.913043478260869
BLR,2017-01-01 00:00:00.000,3.913043478260869
BLR,2018-01-01 00:00:00.000,4.0
BLR,2019-01-01 00:00:00.000,3.5999999999999996
BLR,2020-01-01 00:00:00.000,2.903225806451613
BLR,2021-01-01 00:00:00.000,2.580645161290323
BLZ,2012-01-01 00:00:00.000,4.3478260869565215
BLZ,2013-01-01 00:00:00.000,4.3478260869565215
BLZ,2014-01-01 00:00:00.000,4.3478260869565215
BLZ,2015-01-01 00:00:00.000,3.913043478260869
BLZ,2016-01-01 00:00:00.000,3.913043478260869
BLZ,2017-01-01 00:00:00.000,4.3478260869565215
BLZ,2018-01-01 00:00:00.000,4.4
BLZ,2019-01-01 00:00:00.000,4.4
BLZ,2020-01-01 00:00:00.000,4.193548387096774
BLZ,2021-01-01 00:00:00.000,4.193548387096774
BOL,2012-01-01 00:00:00.000,5.652173913043478
BOL,2013-01-01 00:00:00.000,5.652173913043478
BOL,2014-01-01 00:00:00.000,5.652173913043478
BOL,2015-01-01 00:00:00.000,6.521739130434782
BOL,2016-01-01 00:00:00.000,6.521739130434782
BOL,2017-01-01 00:00:00.000,6.521739130434782
BOL,2018-01-01 00:00:00.000,7.2
BOL,2019-01-01 00:00:00.000,7.2
BOL,2020-01-01 00:00:00.000,5.806451612903226
BOL,2021-01-01 00:00:00.000,5.483870967741936
BRA,2012-01-01 00:00:00.000,6.956521739130435
BRA,2013-01-01 00:00:00.000,8.26086956521739
BRA,2014-01-01 00:00:00.000,8.26086956521739
BRA,2015-01-01 00:00:00.000,8.26086956521739
BRA,2016-01-01 00:00:00.000,8.26086956521739
BRA,2017-01-01 00:00:00.000,8.695652173913043
BRA,2018-01-01 00:00:00.000,6.4
BRA,2019-01-01 00:00:00.000,6.0
BRA,2020-01-01 00:00:00.000,5.806451612903226
BRA,2021-01-01 00:00:00.000,6.451612903225807
BRB,2012-01-01 00:00:00.000,4.3478260869565215
BRB,2013-01-01 00:00:00.000,4.3478260869565215
BRB,2014-01-01 00:00:00.000,4.3478260869565215
BRB,2015-01-01 00:00:00.000,4.3478260869565215
BRB,2016-01-01 00:00:00.000,4.3478260869565215
BRB,2017-01-01 00:00:00.000,4.3478260869565215
BRB,2018-01-01 00:00:00.000,4.0
BRB,2019-01-01 00:00:00.000,4.0
BRB,2020-01-01 00:00:00.000,3.225806451612903
BRB,2021-01-01 00:00:00.000,3.870967741935484
BRN,2012-01-01 00:00:00.000,3.478260869565217
BRN,2013-01-01 00:00:00.000,3.478260869565217
BRN,2014-01-01 00:00:00.000,3.478260869565217
BRN,2015-01-01 00:00:00.000,3.478260869565217
BRN,2016-01-01 00:00:00.000,3.478260869565217
BRN,2017-01-01 00:00:00.000,3.478260869565217
BRN,2018-01-01 00:00:00.000,3.1999999999999997
BRN,2019-01-01 00:00:00.000,3.1999999999999997
BRN,2020-01-01 00:00:00.000,2.258064516129032
BRN,2021-01-01 00:00:00.000,2.2580645161290325
BTN,2012-01-01 00:00:00.000,3.478260869565217
BTN,2013-01-01 00:00:00.000,3.478260869565217
BTN,2014-01-01 00:00:00.000,3.478260869565217
BTN,2015-01-01 00:00:00.000,3.478260869565217
BTN,2016-01-01 00:00:00.000,3.478260869565217
BTN,2017-01-01 00:00:00.000,3.478260869565217
BTN,2018-01-01 00:00:00.000,3.1999999999999997
BTN,2019-01-01 00:00:00.000,3.1999999999999997
BTN,2020-01-01 00:00:00.000,3.5483870967741935
BTN,2021-01-01 00:00:00.000,5.161290322580645
BWA,2012-01-01 00:00:00.000,4.3478260869565215
BWA,2013-01-01 00:00:00.000,4.3478260869565215
BWA,2014-01-01 00:00:00.000,4.3478260869565215
BWA,2015-01-01 00:00:00.000,4.3478260869565215
BWA,2016-01-01 00:00:00.000,4.782608695652174
BWA,2017-01-01 00:00:00.000,4.782608695652174
BWA,2018-01-01 00:00:00.000,5.6
BWA,2019-01-01 00:00:00.000,5.6
BWA,2020-01-01 00:00:00.000,5.483870967741935
BWA,2021-01-01 00:00:00.000,4.516129032258065
CAF,2012-01-01 00:00:00.000,3.478260869565217
CAF,2013-01-01 00:00:00.000,3.478260869565217
CAF,2014-01-01 00:00:00.000,3.478260869565217
CAF,2015-01-01 00:00:00.000,3.478260869565217
CAF,2016-01-01 00:00:00.000,3.478260869565217
CAF,2017-01-01 00:00:00.000,3.478260869565217
CAF,2018-01-01 00:00:00.000,3.1999999999999997
CAF,2019-01-01 00:00:00.000,3.1999999999999997
CAF,2020-01-01 00:00:00.000,2.5806451612903225
CAF,2021-01-01 00:00:00.000,2.903225806451613
CAN,2012-01-01 00:00:00.000,8.695652173913043
CAN,2013-01-01 00:00:00.000,8.695652173913043
CAN,2014-01-01 00:00:00.000,9.130434782608695
CAN,2015-01-01 00:00:00.000,9.565217391304348
CAN,2016-01-01 00:00:00.000,9.565217391304348
CAN,2017-01-01 00:00:00.000,9.565217391304348
CAN,2018-01-01 00:00:00.000,10.0
CAN,2019-01-01 00:00:00.000,10.0
CAN,2020-01-01 00:00:00.000,10.0
CAN,2021-01-01 00:00:00.000,10.0
CHE,2012-01-01 00:00:00.000,7.826086956521738
CHE,2013-01-01 00:00:00.000,7.826086956521738
CHE,2014-01-01 00:00:00.000,7.826086956521738
CHE,2015-01-01 00:00:00.000,8.26086956521739
CHE,2016-01-01 00:00:00.000,8.26086956521739
CHE,2017-01-01 00:00:00.000,8.695652173913043
CHE,2018-01-01 00:00:00.000,8.8
CHE,2019-01-01 00:00:00.000,9.2
CHE,2020-01-01 00:00:00.000,8.387096774193548
CHE,2021-01-01 00:00:00.000,8.387096774193548
CHL,2012-01-01 00:00:00.000,5.652173913043478
CHL,2013-01-01 00:00:00.000,6.08695652173913
CHL,2014-01-01 00:00:00.000,6.08695652173913
CHL,2015-01-01 00:00:00.000,5.652173913043478
CHL,2016-01-01 00:00:00.000,5.652173913043478
CHL,2017-01-01 00:00:00.000,5.652173913043478
CHL,2018-01-01 00:00:00.000,6.4
CHL,2019-01-01 00:00:00.000,6.8
CHL,2020-01-01 00:00:00.000,6.451612903225806
CHL,2021-01-01 00:00:00.000,6.451612903225807
CHN,2012-01-01 00:00:00.000,6.08695652173913
CHN,2013-01-01 00:00:00.000,6.08695652173913
CHN,2014-01-01 00:00:00.000,6.08695652173913
CHN,2015-01-01 00:00:00.000,6.08695652173913
CHN,2016-01-01 00:00:00.000,6.08695652173913
CHN,2017-01-01 00:00:00.000,6.08695652173913
CHN,2018-01-01 00:00:00.000,6.0
CHN,2019-01-01 00:00:00.000,6.0
CHN,2020-01-01 00:00:00.000,5.161290322580645
CHN,2021-01-01 00:00:00.000,4.838709677419355
CIV,2012-01-01 00:00:00.000,3.913043478260869
CIV,2013-01-01 00:00:00.000,3.913043478260869
CIV,2014-01-01 00:00:00.000,3.913043478260869
CIV,2015-01-01 00:00:00.000,3.913043478260869
CIV,2016-01-01 00:00:00.000,3.913043478260869
CIV,2017-01-01 00:00:00.000,3.913043478260869
CIV,2018-01-01 00:00:00.000,3.5999999999999996
