"iso3","year","gov_score"
BGD,2015-01-01 00:00:00.000,2.8155339805825244
BGD,2016-01-01 00:00:00.000,2.8893662728249203
BGD,2017-01-01 00:00:00.000,2.824175824175824
BGD,2018-01-01 00:00:00.000,2.9988974641675856
BGD,2019-01-01 00:00:00.000,3.0411255411255413
BGD,2020-01-01 00:00:00.000,3.081967213114754
BGD,2021-01-01 00:00:00.000,3.081967213114754
BGR,2012-01-01 00:00:00.000,5.704081632653061
BGR,2013-01-01 00:00:00.000,5.511247443762781
BGR,2014-01-01 00:00:00.000,5.586061246040126
BGR,2015-01-01 00:00:00.000,5.46925566343042
BGR,2016-01-01 00:00:00.000,5.617615467239529
BGR,2017-01-01 00:00:00.000,5.802197802197801
BGR,2018-01-01 00:00:00.000,5.964718853362735
BGR,2019-01-01 00:00:00.000,6.136363636363636
BGR,2020-01-01 00:00:00.000,5.945355191256832
BGR,2021-01-01 00:00:00.000,5.945355191256832
BHR,2012-01-01 00:00:00.000,5.36734693877551
BHR,2013-01-01 00:00:00.000,5.306748466257669
BHR,2014-01-01 00:00:00.000,5.4699049630411825
BHR,2015-01-01 00:00:00.000,5.296655879180151
BHR,2016-01-01 00:00:00.000,5.413533834586467
BHR,2017-01-01 00:00:00.000,5.153846153846152
BHR,2018-01-01 00:00:00.000,5.325248070562294
BHR,2019-01-01 00:00:00.000,5.5519480519480515
BHR,2020-01-01 00:00:00.000,5.486338797814209
BHR,2021-01-01 00:00:00.000,5.486338797814209
BHS,2012-01-01 00:00:00.000,7.938775510204081
BHS,2013-01-01 00:00:00.000,7.883435582822086
BHS,2014-01-01 00:00:00.000,8.035902851108764
BHS,2015-01-01 00:00:00.000,7.766990291262136
BHS,2016-01-01 00:00:00.000,7.615467239527392
BHS,2017-01-01 00:00:00.000,7.593406593406592
BHS,2018-01-01 00:00:00.000,7.585446527012129
BHS,2019-01-01 00:00:00.000,7.673160173160172
BHS,2020-01-01 00:00:00.000,7.6830601092896185
BHS,2021-01-01 00:00:00.000,7.6830601092896185
BIH,2012-01-01 00:00:00.000,4.795918367346938
BIH,2013-01-01 00:00:00.000,4.928425357873211
BIH,2014-01-01 00:00:00.000,5.110876451953538
BIH,2015-01-01 00:00:00.000,4.757281553398059
BIH,2016-01-01 00:00:00.000,4.919441460794845
BIH,2017-01-01 00:00:00.000,4.890109890109889
BIH,2018-01-01 00:00:00.000,5.016538037486217
BIH,2019-01-01 00:00:00.000,4.9891774891774885
BIH,2020-01-01 00:00:00.000,4.918032786885247
BIH,2021-01-01 00:00:00.000,4.918032786885247
BLR,2012-01-01 00:00:00.000,3.928571428571429
BLR,2013-01-01 00:00:00.000,4.049079754601228
BLR,2014-01-01 00:00:00.000,4.371700105596621
BLR,2015-01-01 00:00:00.000,4.239482200647249
BLR,2016-01-01 00:00:00.000,4.597207303974222
BLR,2017-01-01 00:00:00.000,4.428571428571427
BLR,2018-01-01 00:00:00.000,4.862183020948182
BLR,2019-01-01 00:00:00.000,5.021645021645021
BLR,2020-01-01 00:00:00.000,4.316939890710383
BLR,2021-01-01 00:00:00.000,4.316939890710383
BLZ,2012-01-01 00:00:00.000,5.214285714285714
BLZ,2013-01-01 00:00:00.000,5.245398773006135
BLZ,2014-01-01 00:00:00.000,5.01583949313622
BLZ,2015-01-01 00:00:00.000,4.983818770226538
BLZ,2016-01-01 00:00:00.000,4.98388829215897
BLZ,2017-01-01 00:00:00.000,4.901098901098901
BLZ,2018-01-01 00:00:00.000,5.082690187431092
BLZ,2019-01-01 00:00:00.000,5.183982683982683
BLZ,2020-01-01 00:00:00.000,5.398907103825138
BLZ,2021-01-01 00:00:00.000,5.398907103825138
BOL,2012-01-01 00:00:00.000,4.040816326530612
BOL,2013-01-01 00:00:00.000,4.151329243353783
BOL,2014-01-01 00:00:00.000,4.076029567053855
BOL,2015-01-01 00:00:00.000,3.9590075512405614
BOL,2016-01-01 00:00:00.000,3.9742212674543507
BOL,2017-01-01 00:00:00.000,3.9780219780219785
BOL,2018-01-01 00:00:00.000,4.12348401323043
BOL,2019-01-01 00:00:00.000,3.906926406926407
BOL,2020-01-01 00:00:00.000,4.295081967213115
BOL,2021-01-01 00:00:00.000,4.295081967213115
BRA,2012-01-01 00:00:00.000,5.642857142857142
BRA,2013-01-01 00:00:00.000,5.439672801635992
BRA,2014-01-01 00:00:00.000,5.533262935586061
BRA,2015-01-01 00:00:00.000,5.285868392664509
BRA,2016-01-01 00:00:00.000,5.3383458646616555
BRA,2017-01-01 00:00:00.000,5.252747252747252
BRA,2018-01-01 00:00:00.000,5.435501653803749
BRA,2019-01-01 00:00:00.000,5.411255411255411
BRA,2020-01-01 00:00:00.000,5.672131147540984
BRA,2021-01-01 00:00:00.000,5.672131147540984
BRB,2012-01-01 00:00:00.000,8.387755102040815
BRB,2013-01-01 00:00:00.000,8.38445807770961
BRB,2014-01-01 00:00:00.000,8.321013727560718
BRB,2015-01-01 00:00:00.000,8.349514563106796
BRB,2016-01-01 00:00:00.000,8.077336197636951
BRB,2017-01-01 00:00:00.000,8.131868131868131
BRB,2018-01-01 00:00:00.000,8.070562293274532
BRB,2019-01-01 00:00:00.000,7.9978354978354975
BRB,2020-01-01 00:00:00.000,8.010928961748634
BRB,2021-01-01 00:00:00.000,8.010928961748634
BRN,2012-01-01 00:00:00.000,6.5
BRN,2013-01-01 00:00:00.000,6.584867075664621
BRN,2014-01-01 00:00:00.000,6.62090813093981
BRN,2015-01-01 00:00:00.000,6.4509169363538295
BRN,2016-01-01 00:00:00.000,6.809881847475834
BRN,2017-01-01 00:00:00.000,6.956043956043955
BRN,2018-01-01 00:00:00.000,7.18853362734289
BRN,2019-01-01 00:00:00.000,7.067099567099567
BRN,2020-01-01 00:00:00.000,7.453551912568306
BRN,2021-01-01 00:00:00.000,7.453551912568306
BTN,2012-01-01 00:00:00.000,5.551020408163265
BTN,2013-01-01 00:00:00.000,5.715746421267894
BTN,2014-01-01 00:00:00.000,6.325237592397043
BTN,2015-01-01 00:00:00.000,6.321467098166127
BTN,2016-01-01 00:00:00.000,6.48764769065521
BTN,2017-01-01 00:00:00.000,6.835164835164834
BTN,2018-01-01 00:00:00.000,7.045203969128998
BTN,2019-01-01 00:00:00.000,7.175324675324674
BTN,2020-01-01 00:00:00.000,7.136612021857925
BTN,2021-01-01 00:00:00.000,7.136612021857925
BWA,2012-01-01 00:00:00.000,6.326530612244897
BWA,2013-01-01 00:00:00.000,6.523517382413088
BWA,2014-01-01 00:00:00.000,6.62090813093981
BWA,2015-01-01 00:00:00.000,6.504854368932039
BWA,2016-01-01 00:00:00.000,6.5198711063372725
BWA,2017-01-01 00:00:00.000,6.428571428571427
BWA,2018-01-01 00:00:00.000,6.868798235942668
BWA,2019-01-01 00:00:00.000,7.034632034632034
BWA,2020-01-01 00:00:00.000,6.972677595628415
BWA,2021-01-01 00:00:00.000,6.972677595628415
CAF,2012-01-01 00:00:00.000,1.7551020408163265
CAF,2013-01-01 00:00:00.000,1.2065439672801637
CAF,2014-01-01 00:00:00.000,0.8870116156283
CAF,2015-01-01 00:00:00.000,1.1542610571736787
CAF,2016-01-01 00:00:00.000,1.2459720730397423
CAF,2017-01-01 00:00:00.000,1.1208791208791204
CAF,2018-01-01 00:00:00.000,1.1025358324145536
CAF,2019-01-01 00:00:00.000,1.1796536796536796
CAF,2020-01-01 00:00:00.000,1.1366120218579234
CAF,2021-01-01 00:00:00.000,1.1366120218579234
CAN,2012-01-01 00:00:00.000,9.23469387755102
CAN,2013-01-01 00:00:00.000,9.212678936605316
CAN,2014-01-01 00:00:00.000,9.408658922914466
CAN,2015-01-01 00:00:00.000,9.503775620280475
CAN,2016-01-01 00:00:00.000,9.559613319011818
CAN,2017-01-01 00:00:00.000,9.483516483516484
CAN,2018-01-01 00:00:00.000,9.514884233737597
CAN,2019-01-01 00:00:00.000,9.49134199134199
CAN,2020-01-01 00:00:00.000,9.366120218579235
CAN,2021-01-01 00:00:00.000,9.366120218579235
CHE,2012-01-01 00:00:00.000,9.673469387755102
CHE,2013-01-01 00:00:00.000,9.621676891615541
CHE,2014-01-01 00:00:00.000,9.820485744456176
CHE,2015-01-01 00:00:00.000,9.719525350593312
CHE,2016-01-01 00:00:00.000,9.645542427497318
CHE,2017-01-01 00:00:00.000,9.637362637362637
CHE,2018-01-01 00:00:00.000,9.867695700110255
CHE,2019-01-01 00:00:00.000,9.794372294372295
