,iso3,year,soc_score
106,AZE,2018-01-01,6.824146981627297
107,AZE,2019-01-01,6.8413597733711065
108,AZE,2020-01-01,7.023977433004233
109,AZE,2021-01-01,7.111111111111111
110,BDI,2012-01-01,3.036211699164345
111,BDI,2013-01-01,3.4645669291338583
112,BDI,2014-01-01,4.099868593955321
113,BDI,2015-01-01,4.5203679369250995
114,BDI,2016-01-01,4.005167958656332
115,BDI,2017-01-01,3.9033942558746744
116,BDI,2018-01-01,3.805774278215223
117,BDI,2019-01-01,3.1728045325779046
118,BDI,2020-01-01,3.187588152327222
119,BDI,2021-01-01,3.816993464052287
120,BEL,2012-01-01,7.994428969359332
121,BEL,2013-01-01,7.8083989501312345
122,BEL,2014-01-01,7.871222076215506
123,BEL,2015-01-01,7.805519053876479
124,BEL,2016-01-01,7.9586563307493545
125,BEL,2017-01-01,8.067885117493475
126,BEL,2018-01-01,8.228346456692915
127,BEL,2019-01-01,8.385269121813034
128,BEL,2020-01-01,8.265162200282088
129,BEL,2021-01-01,8.183006535947712
130,BEN,2012-01-01,4.178272980501392
131,BEN,2013-01-01,4.21259842519685
132,BEN,2014-01-01,4.152431011826543
133,BEN,2015-01-01,3.587385019710908
134,BEN,2016-01-01,3.9664082687338515
135,BEN,2017-01-01,3.9556135770234992
136,BEN,2018-01-01,3.845144356955381
137,BEN,2019-01-01,3.21529745042493
138,BEN,2020-01-01,3.2299012693935127
139,BEN,2021-01-01,3.869281045751633
140,BFA,2012-01-01,2.3955431754874645
141,BFA,2013-01-01,2.729658792650919
142,BFA,2014-01-01,3.1274638633377143
143,BFA,2015-01-01,2.930354796320631
144,BFA,2016-01-01,3.152454780361758
145,BFA,2017-01-01,3.276762402088773
146,BFA,2018-01-01,3.215223097112861
147,BFA,2019-01-01,2.8895184135977336
148,BFA,2020-01-01,2.9478138222849086
149,BFA,2021-01-01,3.385620915032679
