"iso3","year","soc_score"
BGR,2012-01-01 00:00:00.000,6.894150417827298
BGR,2013-01-01 00:00:00.000,6.8241469816272975
BGR,2014-01-01 00:00:00.000,6.964520367936926
BGR,2015-01-01 00:00:00.000,7.161629434954008
BGR,2016-01-01 00:00:00.000,7.403100775193801
BGR,2017-01-01 00:00:00.000,7.584856396866842
BGR,2018-01-01 00:00:00.000,7.729658792650919
BGR,2019-01-01 00:00:00.000,7.76203966005666
BGR,2020-01-01 00:00:00.000,7.602256699576869
BGR,2021-01-01 00:00:00.000,7.633986928104575
BHR,2012-01-01 00:00:00.000,7.896935933147631
BHR,2013-01-01 00:00:00.000,7.664041994750656
BHR,2014-01-01 00:00:00.000,7.83180026281209
BHR,2015-01-01 00:00:00.000,7.660972404730618
BHR,2016-01-01 00:00:00.000,7.726098191214472
BHR,2017-01-01 00:00:00.000,7.754569190600524
BHR,2018-01-01 00:00:00.000,7.847769028871391
BHR,2019-01-01 00:00:00.000,7.549575070821531
BHR,2020-01-01 00:00:00.000,7.503526093088859
BHR,2021-01-01 00:00:00.000,7.803921568627452
BHS,2012-01-01 00:00:00.000,6.573816155988856
BHS,2013-01-01 00:00:00.000,6.299212598425198
BHS,2014-01-01 00:00:00.000,6.517739816031538
BHS,2015-01-01 00:00:00.000,6.636005256241788
BHS,2016-01-01 00:00:00.000,6.61498708010336
BHS,2017-01-01 00:00:00.000,6.801566579634466
BHS,2018-01-01 00:00:00.000,6.9160104986876645
BHS,2019-01-01 00:00:00.000,7.039660056657226
BHS,2020-01-01 00:00:00.000,7.291960507757405
BHS,2021-01-01 00:00:00.000,6.718954248366012
BIH,2012-01-01 00:00:00.000,4.958217270194986
BIH,2013-01-01 00:00:00.000,4.711286089238846
BIH,2014-01-01 00:00:00.000,4.717477003942182
BIH,2015-01-01 00:00:00.000,4.599211563731932
BIH,2016-01-01 00:00:00.000,4.793281653746771
BIH,2017-01-01 00:00:00.000,5.35248041775457
BIH,2018-01-01 00:00:00.000,5.669291338582677
BIH,2019-01-01 00:00:00.000,6.784702549575073
BIH,2020-01-01 00:00:00.000,6.88293370944993
BIH,2021-01-01 00:00:00.000,6.300653594771241
BLR,2012-01-01 00:00:00.000,7.534818941504177
BLR,2013-01-01 00:00:00.000,7.440944881889765
BLR,2014-01-01 00:00:00.000,7.503285151116952
BLR,2015-01-01 00:00:00.000,7.424441524310119
BLR,2016-01-01 00:00:00.000,7.545219638242894
BLR,2017-01-01 00:00:00.000,7.610966057441255
BLR,2018-01-01 00:00:00.000,7.834645669291338
BLR,2019-01-01 00:00:00.000,7.804532577903686
BLR,2020-01-01 00:00:00.000,7.757404795486601
BLR,2021-01-01 00:00:00.000,8.130718954248366
BLZ,2012-01-01 00:00:00.000,7.632311977715876
BLZ,2013-01-01 00:00:00.000,7.782152230971128
BLZ,2014-01-01 00:00:00.000,7.792378449408673
BLZ,2015-01-01 00:00:00.000,7.792378449408673
