"iso3","year","africa","americas","east_asia_and_the_pacific","europe","middle_east","other_not_classified","south_asia","total","of_which,_nationals_residing_abroad"
AUT,2018-01-01 00:00:00.000,82.0,1158.0,2188.0,26489.0,393.0,313.0,193.0,30816.0,
AUT,2019-01-01 00:00:00.000,80.0,1209.0,2314.0,27356.0,384.0,347.0,193.0,31884.0,
AUT,2020-01-01 00:00:00.000,21.0,171.0,234.0,14458.0,31.0,166.0,11.0,15091.0,
AUT,2021-01-01 00:00:00.000,17.0,173.0,44.0,12229.0,110.0,149.0,7.0,12728.0,
AZE,2012-01-01 00:00:00.000,2.0,19.0,16.0,2148.0,5.0,2.0,293.0,2484.0,
AZE,2013-01-01 00:00:00.000,3.0,21.0,20.0,2306.0,6.0,2.0,152.0,2509.0,
AZE,2014-01-01 00:00:00.000,3.0,20.0,20.0,2109.0,5.0,2.0,140.0,2298.0,
AZE,2015-01-01 00:00:00.000,2.0,18.0,20.0,1795.0,9.0,2.0,160.0,2006.0,
AZE,2016-01-01 00:00:00.000,4.0,19.0,23.0,1799.0,138.0,8.0,259.0,2249.0,
AZE,2017-01-01 00:00:00.000,7.0,22.0,30.0,1972.0,261.0,7.0,397.0,2697.0,
AZE,2018-01-01 00:00:00.000,9.0,27.0,43.0,2105.0,331.0,9.0,327.0,2850.0,
AZE,2019-01-01 00:00:00.000,11.0,29.0,59.0,2376.0,314.0,7.0,374.0,3170.0,
AZE,2020-01-01 00:00:00.000,2.0,4.0,6.0,648.0,41.0,1.0,95.0,796.0,
AZE,2021-01-01 00:00:00.000,2.0,6.0,6.0,603.0,38.0,2.0,135.0,792.0,
BHS,2012-01-01 00:00:00.000,2.0,1326.0,10.0,91.0,1.0,1.0,1.0,1431.0,
BHS,2013-01-01 00:00:00.000,2.0,1269.0,9.0,95.0,1.0,1.0,1.0,1377.0,
BHS,2014-01-01 00:00:00.000,3.0,1328.0,10.0,100.0,1.0,1.0,1.0,1444.0,
BHS,2015-01-01 00:00:00.000,3.0,1374.0,12.0,104.0,1.0,1.0,1.0,1496.0,
BHS,2016-01-01 00:00:00.000,3.0,1370.0,12.0,111.0,1.0,1.0,1.0,1499.0,
BHS,2017-01-01 00:00:00.000,3.0,1313.0,14.0,116.0,1.0,3.0,2.0,1452.0,
BHS,2018-01-01 00:00:00.000,3.0,1486.0,15.0,124.0,1.0,2.0,2.0,1633.0,
BHS,2019-01-01 00:00:00.000,3.0,1664.0,14.0,120.0,1.0,2.0,2.0,1807.0,
BHS,2020-01-01 00:00:00.000,1.0,410.0,2.0,24.0,1.0,3.0,2.0,441.0,
