Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Macao SAR, China",MAC,GDP per capita (constant LCU),NY.GDP.PCAP.KN,738097.69826078,790039.226722218,859348.404210498,826708.509402202,637170.270415237,621282.041462418,670551.151017289,700321.50982118,669703.896463965,300760.18471557,353314.195748077
Madagascar,MDG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,748583.474830454,750371.442800389,747396.335690499,752326.843708468,756068.073195865,766186.880222176,776008.671508275,780603.16161028,794712.814534662,719894.340003607,733639.42440795
Malawi,MWI,GDP per capita (constant LCU),NY.GDP.PCAP.KN,347381.530994064,344047.737906282,351920.713794733,361749.679620652,361758.372577225,360804.142052017,365257.144570038,371194.383152375,381056.160707788,374000.525673114,374385.298713276
Malaysia,MYS,GDP per capita (constant LCU),NY.GDP.PCAP.KN,32782.5720503672,34021.9136903,35057.8450361404,36590.9722650373,37881.7314123128,38993.0913496103,40679.7883374699,42092.5024825404,43407.8506231858,40516.3940847819,41304.0806670091
Maldives,MDV,GDP per capita (constant LCU),NY.GDP.PCAP.KN,128657.734750561,127438.378847032,132217.541075243,136456.830190671,134319.359844989,136962.415135211,141183.741284644,147255.068421547,153095.677372807,99854.2689303667,139633.373988651
Mali,MLI,GDP per capita (constant LCU),NY.GDP.PCAP.KN,239593.828326579,230756.13752171,229258.985059603,237839.320579628,244695.896660873,250882.905888341,255831.057188892,259599.900779049,263575.561810755,252265.624174285,251884.950100167
Malta,MLT,GDP per capita (constant LCU),NY.GDP.PCAP.KN,18536.3756041781,19127.0581961203,19892.6207898734,20987.7622779928,22461.8191541232,22695.8687268862,24495.3514857938,25114.004498277,25574.6316921331,22932.9830090117,25138.2739096225
Marshall Islands,MHL,GDP per capita (constant LCU),NY.GDP.PCAP.KN,3343.35013497952,3348.68111028102,3529.43799657267,3554.49136238323,3703.64905889496,3862.82977094498,4091.24335092292,4373.87636173868,4984.64720085852,5041.05682629627,5262.47562425684
Mauritania,MRT,GDP per capita (constant LCU),NY.GDP.PCAP.KN,49911.4920654017,50538.3916011411,51133.6015435916,51929.108596176,53292.0871112102,52556.7133115657,54400.6212237216,55519.3565850378,56951.297820705,54977.6631372755,54901.8666194002
Mauritius,MUS,GDP per capita (constant LCU),NY.GDP.PCAP.KN,308776.38022555,318686.556539548,328670.534611207,340631.345970527,352735.092210153,366107.686036821,380181.91881627,395199.192841557,406495.163666903,347149.49112772,359915.565691989
Mexico,MEX,GDP per capita (constant LCU),NY.GDP.PCAP.KN,135744.794636476,138737.830230334,138776.467536391,140970.27461047,143923.204078985,146044.7087132,147528.254501505,149338.500129433,147764.594533406,134976.104876397,140559.218971846
"Micronesia, Fed. Sts.",FSM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,2320.14422497613,2269.5736935472,2178.470476664,2120.13868506017,2209.2534395498,2219.75164885149,2268.86625011319,2263.44057910916,2280.77914148987,2225.98433625319,2135.49071430466
Moldova,MDA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,31913.5364607872,31729.4908162518,34608.3314862432,36360.7817591667,36516.8273091759,38572.824802387,41085.6778533897,43612.5511137303,45948.4456274562,43027.2349326306,49400.8532556027
Monaco,MCO,GDP per capita (constant LCU),NY.GDP.PCAP.KN,132131.389011636,130564.841498559,140138.320395201,147363.611188037,151798.150163221,155720.104664023,150377.928949358,159399.389667558,170383.971485662,148743.296679486,181965.872539933
Mongolia,MNG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,6023860.2136783,6648686.87968445,7285417.81591359,7703738.05571335,7722333.6245328,7669728.32135413,7928101.69933754,8358643.01579872,8640025.73503525,8091276.91245729,8092421.73594338
Montenegro,MNE,GDP per capita (constant LCU),NY.GDP.PCAP.KN,5202.53387068422,5056.57096910898,5230.91980611938,5319.06048471398,5496.3120359908,5657.10433663344,5923.25341876977,6225.4900542728,6480.50087777399,5494.91554885998,6199.0759208089
Morocco,MAR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,23436.59765625,23809.7890625,24549.607421875,28838.228515625,29709.84375,29495.337890625,30613.8828125,31195.376953125,31757.72265625,29162.24609375,31142.47265625
Mozambique,MOZ,GDP per capita (constant LCU),NY.GDP.PCAP.KN,18972.4304885002,19745.22819723,20481.1086218208,21331.6042495817,22083.4544860931,22221.6301031326,22348.6200377529,22446.9359647291,22313.0277050855,21406.7586722906,21298.7921310274
Myanmar,MMR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,1050469.21784288,1109163.05827461,1186608.16858655,1273244.58082046,1304461.74343192,1430186.6687515,1500969.38436046,1585653.13296731,1680750.09579524,1721661.75637782,1403413.28018485
Namibia,NAM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,55790.8790343003,57664.8162604327,59879.2545284462,62437.2479875439,63967.4044728094,62869.5076404604,61139.9589183315,60731.2050982175,59213.2904471198,53526.004330253,54056.127830522
Nauru,NRU,GDP per capita (constant LCU),NY.GDP.PCAP.KN,4278.90693377419,4691.6890080429,5984.66429773705,7404.02193784278,7510.05811354493,7606.88991868497,7019.34600239685,7296.20932572962,7171.11770524233,7145.75720665855,7139.3174006874
Nepal,NPL,GDP per capita (constant LCU),NY.GDP.PCAP.KN,57184.7739691882,59714.564001707,61704.7644925356,65222.265101832,67451.4866640726,67133.6673965871,72323.951862941,76954.0323846864,81149.5020050769,77833.2719458021,79284.6138886803
Netherlands,NLD,GDP per capita (constant LCU),NY.GDP.PCAP.KN,40440.5512729411,39876.0337982265,39706.8881590285,40127.4243095527,40732.6526808888,41404.462654065,42358.5393656148,43106.1410114334,43662.1624348496,41732.9255511281,43533.9952948273
New Caledonia,NCL,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,..,..,..,..,..,..,..,..,..
New Zealand,NZL,GDP per capita (constant LCU),NY.GDP.PCAP.KN,51502.4162864964,52370.9049250244,53370.8655815943,54494.4733754013,55395.4961600208,56205.8083197217,57013.6280538474,57882.6815083867,58217.9962644602,56235.0860476995,57954.7707336224
Nicaragua,NIC,GDP per capita (constant LCU),NY.GDP.PCAP.KN,23332.5643035914,24485.2632579109,25319.0724091448,26149.2144218832,27011.090404563,27843.082935594,28722.024673283,27368.6279838222,25971.9348539989,25159.8048815146,27378.8635640402
Niger,NER,GDP per capita (constant LCU),NY.GDP.PCAP.KN,255579.375849673,271976.439745406,275701.924415217,283104.768611049,284438.629253278,289358.995242414,292423.14833497,301856.807724904,307973.643089974,307240.182950031,300164.7602306
Nigeria,NGA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,347574.882733375,352453.126725185,365960.421155799,378959.929266754,379251.582955012,363881.629922204,357659.715846082,355548.13125464,354611.417025158,339852.279598068,343872.148277169
North Macedonia,MKD,GDP per capita (constant LCU),NY.GDP.PCAP.KN,186460.88317977,185384.688536489,190531.445248911,197117.637925756,204445.794806944,210039.131672529,212105.363118474,218035.012717842,226509.057184159,213094.52066097,222340.203003062
Northern Mariana Islands,MNP,GDP per capita (constant LCU),NY.GDP.PCAP.KN,14089.8705255141,14247.7893007888,14690.9341976564,15388.7688984881,16015.0638661335,20847.5935305967,25882.6312365708,21052.0038167939,18873.6010269164,..,..
Norway,NOR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,582190.746459582,590125.918264017,589062.416639975,593928.403467081,599615.272461375,600724.918564628,609736.879207909,612502.343787063,612918.80021601,604950.854869667,625076.918525531
Oman,OMN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,8436.51286145057,8330.37530769359,8120.25110829307,7830.08465138391,7864.90022367607,7874.2721239089,7648.17627338968,7646.77232270057,7557.81614454606,7397.80444112437,7665.24724967819
Pakistan,PAK,GDP per capita (constant LCU),NY.GDP.PCAP.KN,131813.329306668,134004.901232314,137762.742424594,142184.918611537,146993.639505308,153261.0866258,157942.889778616,165101.564714813,166525.853353043,161579.54484039,168934.400889686
Palau,PLW,GDP per capita (constant LCU),NY.GDP.PCAP.KN,14137.5219298246,14609.4672907612,14226.3746138725,15129.4111036188,16271.8556816905,16238.2128423889,15557.5489151763,15550.828481863,15567.0908684974,14105.2748720231,12189.3031513537
Panama,PAN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,7564.21253274212,8157.50352476336,8568.49932331228,8846.96099792403,9192.69394068736,9482.1197237389,9841.84081153049,10035.0398715085,10169.7990706272,8224.62576809405,9361.96284898169
Papua New Guinea,PNG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,5625.71411992129,5726.40127227842,5787.46599864389,6401.65027735203,6651.44467272828,6845.49013509014,6919.78507253481,6741.85525767569,6886.4992937899,6526.69226761193,6414.81509958805
