"iso3","year","env_score"
BOL,2017-01-01 00:00:00.000,5.025295109612141
BOL,2018-01-01 00:00:00.000,5.025295109612141
BOL,2019-01-01 00:00:00.000,5.033670033670033
BOL,2020-01-01 00:00:00.000,5.0508474576271185
BOL,2021-01-01 00:00:00.000,5.0508474576271185
BRA,2012-01-01 00:00:00.000,7.992424242424241
BRA,2013-01-01 00:00:00.000,7.973484848484848
BRA,2014-01-01 00:00:00.000,7.744916820702403
BRA,2015-01-01 00:00:00.000,7.854545454545454
BRA,2016-01-01 00:00:00.000,7.996453900709221
BRA,2017-01-01 00:00:00.000,7.858347386172008
BRA,2018-01-01 00:00:00.000,7.908937605396289
BRA,2019-01-01 00:00:00.000,7.912457912457912
BRA,2020-01-01 00:00:00.000,7.915254237288136
BRA,2021-01-01 00:00:00.000,7.915254237288136
BRB,2012-01-01 00:00:00.000,3.409090909090909
BRB,2013-01-01 00:00:00.000,3.5984848484848486
BRB,2014-01-01 00:00:00.000,3.900184842883548
BRB,2015-01-01 00:00:00.000,4.072727272727272
BRB,2016-01-01 00:00:00.000,4.166666666666667
BRB,2017-01-01 00:00:00.000,4.0472175379426645
BRB,2018-01-01 00:00:00.000,4.0472175379426645
BRB,2019-01-01 00:00:00.000,4.057239057239057
BRB,2020-01-01 00:00:00.000,4.084745762711865
BRB,2021-01-01 00:00:00.000,4.084745762711865
BRN,2012-01-01 00:00:00.000,3.0681818181818183
BRN,2013-01-01 00:00:00.000,3.503787878787879
BRN,2014-01-01 00:00:00.000,3.8077634011090566
BRN,2015-01-01 00:00:00.000,4.163636363636364
BRN,2016-01-01 00:00:00.000,4.450354609929079
BRN,2017-01-01 00:00:00.000,4.232715008431703
BRN,2018-01-01 00:00:00.000,4.2158516020236085
BRN,2019-01-01 00:00:00.000,4.208754208754209
BRN,2020-01-01 00:00:00.000,4.237288135593221
BRN,2021-01-01 00:00:00.000,4.237288135593221
BTN,2012-01-01 00:00:00.000,2.7651515151515147
BTN,2013-01-01 00:00:00.000,3.0113636363636367
BTN,2014-01-01 00:00:00.000,3.142329020332716
BTN,2015-01-01 00:00:00.000,3.2909090909090906
BTN,2016-01-01 00:00:00.000,3.3510638297872344
BTN,2017-01-01 00:00:00.000,3.2715008431703207
BTN,2018-01-01 00:00:00.000,3.2715008431703207
BTN,2019-01-01 00:00:00.000,3.265993265993266
BTN,2020-01-01 00:00:00.000,3.2711864406779663
BTN,2021-01-01 00:00:00.000,3.2711864406779663
BWA,2012-01-01 00:00:00.000,4.034090909090909
BWA,2013-01-01 00:00:00.000,3.996212121212121
BWA,2014-01-01 00:00:00.000,3.7707948243992604
BWA,2015-01-01 00:00:00.000,3.527272727272728
BWA,2016-01-01 00:00:00.000,3.3510638297872344
BWA,2017-01-01 00:00:00.000,3.338954468802698
BWA,2018-01-01 00:00:00.000,3.338954468802698
BWA,2019-01-01 00:00:00.000,3.3333333333333335
BWA,2020-01-01 00:00:00.000,3.3559322033898304
BWA,2021-01-01 00:00:00.000,3.3559322033898304
CAF,2012-01-01 00:00:00.000,2.954545454545455
CAF,2013-01-01 00:00:00.000,3.087121212121212
CAF,2014-01-01 00:00:00.000,3.1792975970425132
CAF,2015-01-01 00:00:00.000,3.2181818181818174
CAF,2016-01-01 00:00:00.000,3.2624113475177303
CAF,2017-01-01 00:00:00.000,3.136593591905565
CAF,2018-01-01 00:00:00.000,3.136593591905565
CAF,2019-01-01 00:00:00.000,3.131313131313132
CAF,2020-01-01 00:00:00.000,3.1525423728813564
CAF,2021-01-01 00:00:00.000,3.1525423728813564
CAN,2012-01-01 00:00:00.000,9.223484848484848
CAN,2013-01-01 00:00:00.000,9.337121212121211
CAN,2014-01-01 00:00:00.000,9.223659889094268
CAN,2015-01-01 00:00:00.000,9.127272727272727
CAN,2016-01-01 00:00:00.000,9.02482269503546
CAN,2017-01-01 00:00:00.000,8.650927487352446
CAN,2018-01-01 00:00:00.000,8.735244519392918
CAN,2019-01-01 00:00:00.000,8.821548821548822
CAN,2020-01-01 00:00:00.000,8.864406779661017
CAN,2021-01-01 00:00:00.000,8.864406779661017
CHE,2012-01-01 00:00:00.000,8.503787878787879
CHE,2013-01-01 00:00:00.000,8.674242424242424
CHE,2014-01-01 00:00:00.000,8.613678373382623
CHE,2015-01-01 00:00:00.000,8.672727272727272
CHE,2016-01-01 00:00:00.000,8.51063829787234
CHE,2017-01-01 00:00:00.000,8.24620573355818
CHE,2018-01-01 00:00:00.000,8.128161888701518
CHE,2019-01-01 00:00:00.000,8.097643097643099
CHE,2020-01-01 00:00:00.000,8.135593220338983
CHE,2021-01-01 00:00:00.000,8.135593220338983
CHL,2012-01-01 00:00:00.000,7.215909090909089
CHL,2013-01-01 00:00:00.000,7.443181818181818
CHL,2014-01-01 00:00:00.000,7.8373382624768935
CHL,2015-01-01 00:00:00.000,7.872727272727273
CHL,2016-01-01 00:00:00.000,7.836879432624115
CHL,2017-01-01 00:00:00.000,7.5210792580101185
CHL,2018-01-01 00:00:00.000,7.554806070826306
CHL,2019-01-01 00:00:00.000,7.542087542087543
CHL,2020-01-01 00:00:00.000,7.559322033898305
CHL,2021-01-01 00:00:00.000,7.559322033898305
CHN,2012-01-01 00:00:00.000,4.886363636363637
CHN,2013-01-01 00:00:00.000,5.151515151515151
CHN,2014-01-01 00:00:00.000,5.378927911275415
CHN,2015-01-01 00:00:00.000,5.563636363636363
CHN,2016-01-01 00:00:00.000,5.6914893617021285
CHN,2017-01-01 00:00:00.000,5.615514333895447
CHN,2018-01-01 00:00:00.000,5.615514333895447
CHN,2019-01-01 00:00:00.000,5.606060606060607
CHN,2020-01-01 00:00:00.000,5.627118644067797
CHN,2021-01-01 00:00:00.000,5.627118644067797
CIV,2012-01-01 00:00:00.000,2.007575757575758
CIV,2013-01-01 00:00:00.000,1.9696969696969706
CIV,2014-01-01 00:00:00.000,2.0887245841035114
CIV,2015-01-01 00:00:00.000,1.8909090909090902
CIV,2016-01-01 00:00:00.000,1.9503546099290787
CIV,2017-01-01 00:00:00.000,1.7369308600337268
CIV,2018-01-01 00:00:00.000,1.7200674536256326
CIV,2019-01-01 00:00:00.000,1.7171717171717171
CIV,2020-01-01 00:00:00.000,1.7118644067796613
CIV,2021-01-01 00:00:00.000,1.7118644067796613
CMR,2012-01-01 00:00:00.000,4.412878787878788
CMR,2013-01-01 00:00:00.000,4.431818181818182
CMR,2014-01-01 00:00:00.000,4.491682070240295
CMR,2015-01-01 00:00:00.000,4.363636363636363
CMR,2016-01-01 00:00:00.000,4.379432624113476
CMR,2017-01-01 00:00:00.000,4.165261382799325
CMR,2018-01-01 00:00:00.000,4.165261382799325
CMR,2019-01-01 00:00:00.000,4.175084175084175
CMR,2020-01-01 00:00:00.000,4.186440677966102
CMR,2021-01-01 00:00:00.000,4.186440677966102
COD,2012-01-01 00:00:00.000,3.75
COD,2013-01-01 00:00:00.000,3.6931818181818183
COD,2014-01-01 00:00:00.000,3.7892791127541585
COD,2015-01-01 00:00:00.000,3.9454545454545458
COD,2016-01-01 00:00:00.000,4.095744680851064
COD,2017-01-01 00:00:00.000,4.080944350758854
COD,2018-01-01 00:00:00.000,4.080944350758854
COD,2019-01-01 00:00:00.000,4.090909090909092
COD,2020-01-01 00:00:00.000,4.118644067796611
COD,2021-01-01 00:00:00.000,4.118644067796611
COG,2012-01-01 00:00:00.000,3.617424242424242
COG,2013-01-01 00:00:00.000,3.7689393939393936
COG,2014-01-01 00:00:00.000,3.7892791127541585
COG,2015-01-01 00:00:00.000,3.636363636363637
COG,2016-01-01 00:00:00.000,3.5992907801418452
COG,2017-01-01 00:00:00.000,3.5413153456998314
COG,2018-01-01 00:00:00.000,3.5413153456998314
COG,2019-01-01 00:00:00.000,3.5521885521885523
COG,2020-01-01 00:00:00.000,3.576271186440678
COG,2021-01-01 00:00:00.000,3.576271186440678
COL,2012-01-01 00:00:00.000,6.856060606060606
COL,2013-01-01 00:00:00.000,6.628787878787879
COL,2014-01-01 00:00:00.000,6.746765249537892
COL,2015-01-01 00:00:00.000,6.636363636363637
COL,2016-01-01 00:00:00.000,6.755319148936171
COL,2017-01-01 00:00:00.000,6.88026981450253
COL,2018-01-01 00:00:00.000,7.065767284991567
COL,2019-01-01 00:00:00.000,7.171717171717173
COL,2020-01-01 00:00:00.000,7.271186440677968
COL,2021-01-01 00:00:00.000,7.271186440677968
COM,2012-01-01 00:00:00.000,0.0568181818181821
COM,2013-01-01 00:00:00.000,0.0
COM,2014-01-01 00:00:00.000,0.09242144177449152
COM,2015-01-01 00:00:00.000,0.1454545454545455
COM,2016-01-01 00:00:00.000,0.0354609929078018
COM,2017-01-01 00:00:00.000,0.2529510961214163
COM,2018-01-01 00:00:00.000,0.2529510961214163
COM,2019-01-01 00:00:00.000,0.26936026936026947
COM,2020-01-01 00:00:00.000,0.2711864406779658
COM,2021-01-01 00:00:00.000,0.2711864406779658
CPV,2012-01-01 00:00:00.000,1.0416666666666665
CPV,2013-01-01 00:00:00.000,1.496212121212122
CPV,2014-01-01 00:00:00.000,2.033271719038817
CPV,2015-01-01 00:00:00.000,2.2545454545454544
CPV,2016-01-01 00:00:00.000,2.2340425531914905
CPV,2017-01-01 00:00:00.000,2.074198988195616
CPV,2018-01-01 00:00:00.000,2.0910623946037097
CPV,2019-01-01 00:00:00.000,2.1212121212121215
CPV,2020-01-01 00:00:00.000,2.1355932203389836
CPV,2021-01-01 00:00:00.000,2.1355932203389836
CRI,2012-01-01 00:00:00.000,5.284090909090909
CRI,2013-01-01 00:00:00.000,5.359848484848484
CRI,2014-01-01 00:00:00.000,5.471349353049906
CRI,2015-01-01 00:00:00.000,5.727272727272727
CRI,2016-01-01 00:00:00.000,5.762411347517731
CRI,2017-01-01 00:00:00.000,5.564924114671164
CRI,2018-01-01 00:00:00.000,5.54806070826307
CRI,2019-01-01 00:00:00.000,5.53872053872054
CRI,2020-01-01 00:00:00.000,5.5593220338983045
CRI,2021-01-01 00:00:00.000,5.5593220338983045
CUB,2012-01-01 00:00:00.000,2.5757575757575752
CUB,2013-01-01 00:00:00.000,2.708333333333333
CUB,2014-01-01 00:00:00.000,2.902033271719038
CUB,2015-01-01 00:00:00.000,3.0727272727272728
CUB,2016-01-01 00:00:00.000,3.1914893617021285
