"iso3","year","gdp"
SVN,2011-01-01 00:00:00.000,25128.0150431304
SLB,2011-01-01 00:00:00.000,1921.34604301498
SOM,2011-01-01 00:00:00.000,
ZAF,2011-01-01 00:00:00.000,8737.07977396507
SSD,2011-01-01 00:00:00.000,1455.35840718862
ESP,2011-01-01 00:00:00.000,31677.9003083652
LKA,2011-01-01 00:00:00.000,3321.4845323033
KNA,2011-01-01 00:00:00.000,17571.9805680294
LCA,2011-01-01 00:00:00.000,9160.81447272594
VCT,2011-01-01 00:00:00.000,6566.482713176
SDN,2011-01-01 00:00:00.000,1982.8310546875
SUR,2011-01-01 00:00:00.000,8009.25230244723
SWE,2011-01-01 00:00:00.000,60755.7595508465
CHE,2011-01-01 00:00:00.000,90476.7589651577
SYR,2011-01-01 00:00:00.000,2971.2824338307
TJK,2011-01-01 00:00:00.000,837.878466089897
TZA,2011-01-01 00:00:00.000,768.933471679688
THA,2011-01-01 00:00:00.000,5396.64942631764
TLS,2011-01-01 00:00:00.000,936.598344846142
TGO,2011-01-01 00:00:00.000,573.810558543416
TON,2011-01-01 00:00:00.000,3852.05405080641
TTO,2011-01-01 00:00:00.000,17910.319154168
TUN,2011-01-01 00:00:00.000,4361.89644912346
TUR,2011-01-01 00:00:00.000,11308.0649033577
TKM,2011-01-01 00:00:00.000,5453.15500459414
TUV,2011-01-01 00:00:00.000,3663.12725029281
UGA,2011-01-01 00:00:00.000,837.09588312989
UKR,2011-01-01 00:00:00.000,3704.82495117188
ARE,2011-01-01 00:00:00.000,40893.0233597739
GBR,2011-01-01 00:00:00.000,42150.6981408821
USA,2011-01-01 00:00:00.000,50065.9665041742
URY,2011-01-01 00:00:00.000,14267.5843060166
UZB,2011-01-01 00:00:00.000,2051.12951516418
VUT,2011-01-01 00:00:00.000,3064.7500702517
VEN,2011-01-01 00:00:00.000,10877.1123638816
VNM,2011-01-01 00:00:00.000,1953.55697860752
YEM,2011-01-01 00:00:00.000,1284.61763539287
ZMB,2011-01-01 00:00:00.000,1644.45683054452
ZWE,2011-01-01 00:00:00.000,1082.61577402053
AFG,2021-01-01 00:00:00.000,663.141052810937
ALB,2021-01-01 00:00:00.000,4247.63004748194
DZA,2021-01-01 00:00:00.000,5610.73089400516
AND,2021-01-01 00:00:00.000,44904.5800426279
AGO,2021-01-01 00:00:00.000,4962.55207190082
ATG,2021-01-01 00:00:00.000,13686.4765853976
ARG,2021-01-01 00:00:00.000,13082.664325572
ARM,2021-01-01 00:00:00.000,3643.71518342262
AUS,2021-01-01 00:00:00.000,68044.714816234
AUT,2021-01-01 00:00:00.000,48564.9173350875
AZE,2021-01-01 00:00:00.000,7496.29464768263
BHS,2021-01-01 00:00:00.000,28059.6553953426
BHR,2021-01-01 00:00:00.000,25102.726348527
BGD,2021-01-01 00:00:00.000,876.817545058129
BRB,2021-01-01 00:00:00.000,16691.3326357636
BLR,2021-01-01 00:00:00.000,6953.13251493684
BEL,2021-01-01 00:00:00.000,44670.5606845101
BLZ,2021-01-01 00:00:00.000,5645.89582239311
BEN,2021-01-01 00:00:00.000,1112.56953520687
BTN,2021-01-01 00:00:00.000,2470.07367669349
BOL,2021-01-01 00:00:00.000,2562.46678423329
BIH,2021-01-01 00:00:00.000,4688.37662297884
BWA,2021-01-01 00:00:00.000,6393.00826546062
BRA,2021-01-01 00:00:00.000,12327.3174365132
BRN,2021-01-01 00:00:00.000,46842.9602563885
BGR,2021-01-01 00:00:00.000,7432.47876568071
