,iso3,year,gov_score
50,ARG,2012-01-01,5.244897959183674
51,ARG,2013-01-01,5.23517382413088
52,ARG,2014-01-01,5.216473072861668
53,ARG,2015-01-01,5.253505933117584
54,ARG,2016-01-01,5.800214822771214
55,ARG,2017-01-01,5.879120879120878
56,ARG,2018-01-01,6.097023153252481
57,ARG,2019-01-01,6.017316017316017
58,ARG,2020-01-01,6.142076502732241
59,ARG,2021-01-01,6.142076502732241
60,ARM,2012-01-01,4.479591836734694
61,ARM,2013-01-01,4.550102249488753
62,ARM,2014-01-01,4.614572333685322
63,ARM,2015-01-01,4.606256742179072
64,ARM,2016-01-01,4.618689581095597
65,ARM,2017-01-01,4.549450549450548
66,ARM,2018-01-01,5.181918412348402
67,ARM,2019-01-01,5.367965367965367
68,ARM,2020-01-01,5.60655737704918
69,ARM,2021-01-01,5.60655737704918
70,ATG,2012-01-01,7.520408163265306
71,ATG,2013-01-01,7.505112474437628
72,ATG,2014-01-01,6.842661034846885
73,ATG,2015-01-01,7.206040992448759
74,ATG,2016-01-01,7.196562835660581
75,ATG,2017-01-01,6.79120879120879
76,ATG,2018-01-01,6.923925027563396
77,ATG,2019-01-01,7.077922077922078
78,ATG,2020-01-01,7.060109289617486
79,ATG,2021-01-01,7.060109289617486
80,AUS,2012-01-01,9.163265306122447
81,AUS,2013-01-01,9.08997955010225
82,AUS,2014-01-01,9.271383315733896
83,AUS,2015-01-01,9.12621359223301
84,AUS,2016-01-01,9.172932330827068
85,AUS,2017-01-01,9.065934065934064
86,AUS,2018-01-01,9.272326350606397
87,AUS,2019-01-01,9.188311688311687
88,AUS,2020-01-01,9.016393442622952
89,AUS,2021-01-01,9.016393442622952
90,AUT,2012-01-01,9.081632653061225
91,AUT,2013-01-01,9.110429447852761
92,AUT,2014-01-01,9.15522703273495
93,AUT,2015-01-01,9.0722761596548
94,AUT,2016-01-01,8.925886143931258
95,AUT,2017-01-01,9.10989010989011
96,AUT,2018-01-01,9.217199558985667
97,AUT,2019-01-01,9.155844155844155
98,AUT,2020-01-01,9.016393442622952
99,AUT,2021-01-01,9.016393442622952
100,AZE,2012-01-01,3.5816326530612246
101,AZE,2013-01-01,4.141104294478528
102,AZE,2014-01-01,4.033790918690602
103,AZE,2015-01-01,3.8619201725997847
104,AZE,2016-01-01,3.963480128893664
105,AZE,2017-01-01,3.8681318681318673
106,AZE,2018-01-01,4.046306504961411
107,AZE,2019-01-01,4.08008658008658
108,AZE,2020-01-01,3.9453551912568314
109,AZE,2021-01-01,3.9453551912568314
110,BDI,2012-01-01,1.9081632653061225
111,BDI,2013-01-01,2.014314928425358
112,BDI,2014-01-01,2.3020063357972544
113,BDI,2015-01-01,1.3700107874865157
114,BDI,2016-01-01,1.0633727175080558
115,BDI,2017-01-01,0.934065934065934
116,BDI,2018-01-01,1.0804851157662625
117,BDI,2019-01-01,1.1363636363636362
118,BDI,2020-01-01,1.4098360655737705
119,BDI,2021-01-01,1.4098360655737705
120,BEL,2012-01-01,8.724489795918366
121,BEL,2013-01-01,8.752556237218814
122,BEL,2014-01-01,8.77507919746568
123,BEL,2015-01-01,8.651564185544768
124,BEL,2016-01-01,8.614393125671322
125,BEL,2017-01-01,8.494505494505495
126,BEL,2018-01-01,8.621830209481809
127,BEL,2019-01-01,8.67965367965368
128,BEL,2020-01-01,8.677595628415302
129,BEL,2021-01-01,8.677595628415302
130,BEN,2012-01-01,4.020408163265306
131,BEN,2013-01-01,4.028629856850715
132,BEN,2014-01-01,4.044350580781415
133,BEN,2015-01-01,4.045307443365696
134,BEN,2016-01-01,4.189044038668099
135,BEN,2017-01-01,4.153846153846152
136,BEN,2018-01-01,4.167585446527012
137,BEN,2019-01-01,4.06926406926407
138,BEN,2020-01-01,4.142076502732241
139,BEN,2021-01-01,4.142076502732241
140,BFA,2012-01-01,3.6020408163265305
141,BFA,2013-01-01,3.4355828220858897
142,BFA,2014-01-01,3.37909186906019
143,BFA,2015-01-01,3.6138079827400214
144,BFA,2016-01-01,3.7701396348012906
145,BFA,2017-01-01,3.8241758241758235
146,BFA,2018-01-01,3.7816979051819186
147,BFA,2019-01-01,3.5822510822510822
148,BFA,2020-01-01,3.573770491803279
149,BFA,2021-01-01,3.573770491803279
